0.425,3.138,1.438,0.562
0.302,3.217,0.833,1.592
0.170,0.873,0.098,5.518
0.457,3.376,1.384,0.680
0.113,1.768,3.204,1.393
0.055,0.761,3.224,2.903
1.008,1.742,0.434,2.044
1.086,0.980,0.795,2.529
1.353,1.978,0.535,1.345
1.300,1.837,0.743,1.376
2.043,0.828,0.909,1.528
1.486,1.127,0.976,1.573
1.148,1.445,1.365,1.220
0.521,0.832,2.554,1.711
1.139,1.489,1.725,0.890
1.799,1.228,1.314,0.887
0.788,0.984,2.359,1.467
1.251,1.525,0.842,1.670
1.894,1.409,0.889,1.062
1.356,1.260,1.432,1.140
1.215,0.617,2.142,1.372
1.064,0.458,2.601,1.314
1.225,2.084,0.554,1.285
1.028,2.077,0.878,1.171
1.179,2.924,0.366,0.841
0.984,0.269,0.653,3.309
1.764,0.590,0.941,1.983
0.710,0.638,2.018,2.644
0.262,0.386,2.403,3.659
1.055,0.289,0.677,3.134
1.687,0.829,1.218,1.559
1.117,0.104,1.588,2.500
0.583,2.030,1.958,0.851
0.055,1.791,0.537,3.549
0.210,2.020,0.053,4.172
0.973,2.650,0.603,1.323
0.104,2.162,0.595,3.813
1.373,0.894,0.953,1.871
1.799,0.972,1.180,1.165
1.159,1.681,1.501,0.989
0.985,0.478,1.107,2.810
1.047,1.149,0.320,2.487
0.869,0.638,2.872,1.094
1.799,1.208,1.861,0.747
1.164,0.696,0.948,2.569
0.999,1.853,0.812,2.052
1.476,1.402,1.233,1.181
0.263,0.467,3.747,1.329
0.376,1.324,1.337,3.146
1.666,0.367,1.891,1.420
0.797,1.363,2.934,0.548
0.250,1.282,1.245,3.713
1.184,2.123,0.753,1.316
0.265,2.846,0.835,2.220
0.460,2.451,0.346,2.701
1.515,1.358,1.185,1.260
1.231,2.341,1.383,0.326
1.127,0.925,0.589,2.432
1.375,1.966,0.552,1.328
1.786,1.528,1.010,0.957
1.450,1.341,1.323,1.184
1.080,1.636,0.377,1.962
1.115,0.862,1.468,1.779
1.462,1.863,0.561,1.215
1.873,1.502,0.807,1.001
1.294,2.088,0.457,1.315
1.454,1.337,0.929,1.598
1.219,1.047,1.038,2.148
0.975,0.247,0.573,3.502
1.251,0.338,0.309,3.393
1.308,1.204,2.517,0.577
0.815,0.453,0.690,3.978
2.916,1.028,0.529,1.211
0.868,0.376,1.050,2.966
2.464,0.624,0.719,1.529
1.043,0.558,1.314,3.559
1.913,0.811,1.035,1.778
1.294,1.418,1.568,1.064
1.166,0.566,0.615,2.750
1.306,1.523,1.135,1.273
1.821,0.980,1.583,0.928
2.003,0.946,1.830,0.493
1.088,1.729,0.971,1.876
1.142,0.678,0.730,2.578
1.536,1.910,1.392,0.596
0.539,1.434,3.101,0.789
0.728,2.516,1.449,1.072
1.532,1.453,1.075,1.163
0.989,2.444,1.057,1.064
1.523,1.173,1.890,0.601
2.126,1.668,0.712,0.901
1.171,0.944,0.748,2.248
1.536,1.582,0.890,1.244
0.929,0.415,1.084,2.649
1.433,0.901,0.542,2.239
1.521,1.229,1.837,0.602
1.502,1.356,0.947,1.474
1.529,1.599,0.800,1.597
0.999,0.494,1.056,2.455
1.325,0.902,1.481,1.437
1.074,1.478,0.940,2.369
0.440,3.899,0.327,1.085
1.613,0.349,2.177,1.189
1.299,0.172,2.741,1.189
1.622,0.862,1.624,1.207
2.547,0.723,1.002,1.104
1.469,1.950,1.096,0.870
0.822,0.075,2.374,2.061
2.021,0.954,0.731,1.578
2.030,0.902,1.482,0.914
1.271,1.634,0.541,2.010
1.816,1.023,1.350,1.192
0.132,4.245,0.447,1.168
1.485,0.322,1.576,1.814
0.753,1.990,0.660,2.301
0.906,2.148,0.988,1.361
0.807,2.139,0.229,2.454
1.604,1.118,1.441,1.128
0.280,3.264,0.718,1.957
0.310,2.620,0.778,2.791
0.081,0.745,2.965,3.130
0.906,2.402,0.278,2.011
0.619,2.849,0.155,2.369
0.491,1.539,0.075,4.271
1.470,1.706,1.008,1.063
2.763,1.567,0.431,0.737
0.658,1.682,2.147,0.821
2.144,1.675,0.765,0.758
1.364,1.499,1.052,1.321
0.718,2.392,0.451,1.954
0.454,1.279,1.512,2.066
2.486,1.149,0.625,1.079
1.893,1.261,1.065,0.997
0.640,1.304,1.761,1.760
1.608,0.684,1.741,1.377
1.469,1.666,1.383,0.674
1.565,1.688,0.905,1.079
1.668,1.413,0.810,1.378
1.593,1.487,0.773,1.324
1.389,2.105,0.487,1.325
1.464,1.763,1.463,0.530
1.192,1.168,2.341,0.555
0.948,0.356,1.084,3.403
2.140,0.844,0.910,1.461
2.216,0.634,2.039,0.385
1.774,1.056,0.631,1.718
1.249,0.368,0.996,3.654
1.223,0.909,0.543,2.425
0.773,0.639,1.198,3.048
1.459,0.974,0.581,2.092
1.665,1.035,0.792,1.619
1.172,0.918,0.557,2.468
1.252,1.028,1.405,1.861
1.398,1.382,1.337,1.088
1.479,1.095,1.215,1.374
1.391,0.883,0.665,2.139
1.885,1.062,1.092,1.235
0.371,0.235,1.308,3.672
0.582,0.120,1.695,3.328
0.285,0.252,0.957,4.133
1.191,1.583,1.059,1.270
0.547,2.164,0.116,2.490
1.976,2.142,0.467,0.770
0.335,0.331,0.839,4.084
1.180,2.381,0.582,1.051
1.025,2.387,0.678,1.129
0.626,1.936,0.841,2.016
0.683,1.882,0.793,2.030
